"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"207",36194,32565.25,29257.5,40465.875,44916.25,37818,2016,"KATM"
"208",276075.5,247341.375,215459.75,302566.375,336971.25,346534,2016,"KEFJ"
"209",547887,490223.875,432983.25,602124.75,673515.25,607479,2016,"KICA"
"210",7213.5,6404.625,5566,8072.875,9228,15500,2016,"KOVA"
"211",11371.5,10062.875,8779.25,12713.25,14575.75,21102,2016,"LACL"
"212",398233.5,353081.375,307120.5,442307.125,493688.25,536068,2016,"LAVO"
"213",480849.5,432346.25,384252.75,538075.125,602150.5,586514,2016,"MACA"
"214",509643.5,461464,401390.5,567439.625,634634.75,583527,2016,"MEVE"
"215",1110126,989399.5,887493,1237035,1418824.75,1356913,2016,"MORA"
"216",22298.5,20019.875,18142.75,24750.375,27853.75,28646,2016,"NOCA"
"217",8609.5,7669.25,6697,9586.625,10970.5,28892,2016,"NPSA"
"218",2995552,2665273.375,2366417.25,3346801.125,3778085.75,3390221,2016,"OLYM"
"219",642738.5,565876.75,500394.25,714669.375,810730,643274,2016,"PEFO"
"220",405170.5,362694.25,319406.25,451025.75,509221.5,536297,2016,"REDW"
"221",3003241.5,2679836.125,2366932.75,3357672.5,3814647,4517585,2016,"ROMO"
"222",647611.5,574546.375,504136.75,733160.125,832241,820426,2016,"SAGU"
"223",972958.5,874606.125,778844,1097628.75,1234447.25,1254688,2016,"SEQU"
"224",1171446.5,1053941.625,920874.25,1317399.375,1451716.25,1437341,2016,"SHEN"
"225",545898,497929.25,437206.25,613361.5,690985.75,753880,2016,"THRO"
"226",431722.5,390039.625,349076,488384.875,553650.75,411343,2016,"VIIS"
"227",215062,190765.5,169423.75,238074.25,264396,241912,2016,"VOYA"
"228",544246.5,489460.375,437037.25,608719.625,687979.25,617377,2016,"WICA"
"229",72578,64740.875,56773.25,80380.125,89217.25,79047,2016,"WRST"
"230",3268354.5,2900292.25,2539729.75,3576068.375,4039918,4257177,2016,"YELL"
"231",3722977.5,3316862.125,2923885.25,4154218.75,4715069,5028868,2016,"YOSE"
"232",2976823,2706392.25,2343220.5,3326330.125,3735526.5,4295127,2016,"ZION"
"233",2476175.5,2221574.375,1950745.5,2756764.125,3094983,3509271,2017,"ACAD"
"234",1149408.5,1021568.125,891726.25,1266844.125,1419759,1539028,2017,"ARCH"
"235",911026,811329.625,713006.25,1013275.75,1146348,1054325,2017,"BADL"
